date,region_id,admissions,age_group,sex,temp_mean,temp_min,temp_max,dew_point,rel_humidity,pm25,is_holiday
2020-11-25,R1,11,85+,M,23.9,16.7,29.9,20.6,81,19.6,0
2020-11-26,R1,11,55-64,M,18.4,14.3,23.3,12.6,69,12.0,0
2020-11-27,R1,13,65-74,M,22.6,18.1,28.2,18.3,76,23.2,0
2020-11-28,R1,9,45-54,F,17.3,12.0,22.6,11.2,67,21.3,0
2020-11-29,R1,10,85+,F,24.6,20.5,29.3,16.8,61,14.4,0
2020-11-30,R1,11,65-74,F,13.8,9.9,19.8,-4.3,28,16.2,0
2020-12-01,R1,9,45-54,M,17.7,11.4,22.0,13.3,75,13.4,0
2020-12-02,R1,7,85+,F,18.6,13.3,23.1,12.6,68,17.4,0
2020-12-03,R1,11,45-54,M,17.8,12.6,23.3,16.3,90,25.2,0
2020-12-04,R1,17,85+,M,15.9,11.4,20.4,10.4,69,19.8,0
2020-12-05,R1,10,65-74,F,14.0,9.3,19.1,8.9,71,25.4,0
2020-12-06,R1,11,45-54,F,20.1,16.2,23.5,10.7,54,24.9,0
2020-12-07,R1,13,65-74,M,10.3,6.0,14.8,-1.2,44,22.0,0
2020-12-08,R1,14,45-54,F,15.5,10.0,19.2,7.9,60,20.0,0
2020-12-09,R1,17,45-54,F,13.5,10.0,17.9,5.9,59,18.5,0
2020-12-10,R1,14,75-84,F,18.9,12.1,23.3,10.7,58,23.8,0
2020-12-11,R1,10,75-84,F,16.3,12.3,19.5,5.3,48,16.6,0
2020-12-12,R1,10,55-64,M,16.9,13.7,21.4,10.5,65,26.2,0
2020-12-13,R1,9,75-84,F,10.9,7.9,16.0,2.1,54,16.7,0
2020-12-14,R1,11,45-54,F,17.7,11.5,22.7,9.4,58,27.7,0
2020-12-15,R1,16,55-64,F,18.3,12.8,25.2,13.1,71,14.5,0
2020-12-16,R1,6,75-84,F,13.1,7.6,17.5,5.9,61,21.3,0
2020-12-17,R1,3,85+,M,17.0,12.4,23.1,7.9,55,20.8,0
2020-12-18,R1,8,75-84,F,11.9,6.2,18.8,6.8,70,30.4,0
2020-12-19,R1,15,75-84,M,15.8,10.0,20.9,1.8,38,16.6,0
2020-12-20,R1,11,45-54,M,14.8,8.9,20.8,11.3,79,27.7,0
2020-12-21,R1,10,85+,F,15.4,9.8,20.2,12.0,79,26.7,0
2020-12-22,R1,19,65-74,M,15.4,10.0,20.9,3.3,44,26.3,0
2020-12-23,R1,7,75-84,M,17.1,12.2,22.1,11.6,69,20.2,0
2020-12-24,R1,12,45-54,F,12.8,6.3,18.2,-0.4,40,16.3,0
2020-12-25,R1,12,55-64,M,19.4,14.0,24.8,5.4,39,28.9,1
2020-12-26,R1,7,75-84,M,11.7,5.7,15.0,7.2,73,23.1,0
2020-12-27,R1,6,75-84,M,15.4,11.7,20.3,12.1,80,32.9,0
2020-12-28,R1,8,55-64,F,14.8,10.4,17.9,8.3,65,25.6,0
2020-12-29,R1,9,85+,F,20.9,15.8,25.8,14.0,64,34.9,0
2020-12-30,R1,14,85+,M,12.9,8.0,19.3,10.8,87,27.2,0
2020-12-31,R1,13,55-64,F,12.7,9.5,19.1,8.3,74,37.2,0
2021-01-01,R1,5,85+,M,16.8,13.5,23.3,11.7,71,24.9,1
2021-01-02,R1,26,55-64,F,16.8,10.6,21.1,10.2,65,23.9,0
2021-01-03,R1,8,75-84,M,18.2,13.1,24.6,11.2,63,29.6,0
2021-01-04,R1,9,55-64,M,14.8,10.0,18.2,7.2,60,20.0,0
2021-01-05,R1,11,55-64,M,15.3,9.7,18.4,1.6,39,35.5,0
2021-01-06,R1,14,75-84,F,15.2,10.1,19.8,3.1,44,27.1,0
2021-01-07,R1,17,65-74,F,17.4,11.7,22.3,0.1,30,19.3,0
2021-01-08,R1,8,75-84,F,12.7,8.8,16.5,4.9,59,21.6,0
2021-01-09,R1,9,65-74,F,12.3,7.5,17.9,4.3,57,24.8,0
2021-01-10,R1,12,45-54,M,13.1,8.9,17.2,8.1,71,28.6,0
2021-01-11,R1,11,55-64,M,14.8,8.9,20.7,6.7,58,33.4,0
2021-01-12,R1,12,65-74,F,13.3,9.0,19.0,12.5,95,24.7,0
2021-01-13,R1,11,75-84,F,17.0,12.7,21.5,1.9,36,23.0,0
2021-01-14,R1,15,85+,M,11.1,7.8,17.0,0.8,49,33.4,0
2021-01-15,R1,8,75-84,F,14.3,9.5,18.8,5.9,57,20.6,0
2021-01-16,R1,13,55-64,M,14.1,8.8,19.7,6.3,59,33.0,0
2021-01-17,R1,17,45-54,M,14.0,9.4,17.6,7.8,66,30.0,0
2021-01-18,R1,6,85+,M,12.9,8.0,16.0,6.6,65,18.1,0
2021-01-19,R1,15,85+,M,7.7,3.1,12.8,5.7,86,25.0,0
2021-01-20,R1,14,65-74,M,10.7,7.4,14.7,6.0,72,27.3,0
2021-01-21,R1,8,85+,M,12.0,6.0,14.3,1.1,47,28.5,0
2021-01-22,R1,12,65-74,F,10.0,5.5,14.7,6.2,77,24.1,0
2021-01-23,R1,11,45-54,M,9.8,3.9,16.1,2.2,59,26.9,0
2021-01-24,R1,7,55-64,F,11.3,6.1,15.2,-0.1,45,38.7,0
2021-01-25,R1,12,75-84,F,11.3,5.7,16.1,2.6,55,27.3,0
2021-01-26,R1,5,75-84,M,15.8,10.8,18.5,7.7,58,41.9,0
2021-01-27,R1,17,75-84,M,7.9,4.3,12.6,0.9,61,19.0,0
2021-01-28,R1,7,45-54,F,11.2,7.4,16.9,-1.2,42,36.6,0
2021-01-29,R1,12,55-64,M,11.5,6.5,15.5,2.2,52,22.4,0
2021-01-30,R1,5,75-84,M,6.3,1.0,10.0,0.1,64,26.1,0
2021-01-31,R1,12,65-74,M,7.3,2.2,11.3,-1.5,53,27.4,0
2021-02-01,R1,7,65-74,F,2.4,-1.6,8.0,-11.2,36,21.9,0
2021-02-02,R1,15,45-54,M,4.7,-0.1,8.1,4.0,95,20.9,0
2021-02-03,R1,7,75-84,M,13.2,5.8,17.7,-0.1,40,17.7,0
2021-02-04,R1,9,55-64,F,9.6,4.3,15.0,1.1,55,23.5,0
2021-02-05,R1,13,65-74,F,11.2,7.6,14.8,0.8,48,23.8,0
2021-02-06,R1,6,55-64,F,12.3,6.8,17.4,9.4,82,29.7,0
2021-02-07,R1,10,65-74,F,10.7,4.5,15.6,7.3,79,19.4,0
2021-02-08,R1,12,45-54,F,7.2,2.2,10.2,-2.9,48,34.2,0
2021-02-09,R1,14,65-74,F,12.3,6.8,16.9,3.9,56,25.3,0
2021-02-10,R1,9,85+,F,5.1,1.7,10.3,-1.3,63,37.9,0
2021-02-11,R1,13,65-74,F,7.3,1.6,13.1,1.1,64,28.2,0
2021-02-12,R1,19,65-74,F,6.1,2.2,11.5,2.5,77,25.0,0
2021-02-13,R1,8,65-74,F,5.8,0.2,10.1,1.7,75,28.3,0
2021-02-14,R1,12,65-74,M,10.4,5.1,17.6,7.3,81,28.1,0
2021-02-15,R1,12,65-74,F,11.1,5.7,16.3,5.9,70,38.3,0
2021-02-16,R1,17,85+,F,10.4,5.7,15.4,3.6,62,31.5,0
2021-02-17,R1,9,65-74,F,4.5,0.1,10.1,-3.2,57,30.7,0
2021-02-18,R1,12,45-54,M,9.0,4.8,14.2,8.0,92,29.7,0
2021-02-19,R1,13,75-84,M,6.7,1.7,10.2,-4.3,45,29.1,0
2021-02-20,R1,10,75-84,M,7.2,1.3,12.1,1.3,65,27.1,0
2021-02-21,R1,5,65-74,F,5.8,-0.1,11.5,0.5,68,29.4,0
2021-02-22,R1,10,45-54,F,4.9,-0.2,10.4,-5.3,47,29.5,0
2021-02-23,R1,10,55-64,F,6.3,1.4,12.7,-5.8,41,25.8,0
2021-02-24,R1,8,45-54,F,5.1,-1.0,11.0,-1.8,61,28.1,0
2021-02-25,R1,13,45-54,M,1.4,-3.2,7.2,0.6,94,30.3,0
2021-02-26,R1,19,85+,M,1.2,-4.4,7.0,-4.4,66,28.9,0
2021-02-27,R1,13,45-54,F,11.9,7.3,17.7,-8.2,23,36.4,0
2021-02-28,R1,6,45-54,M,8.0,3.6,13.5,-2.4,47,26.9,0
2021-03-01,R1,9,65-74,M,4.0,-0.4,9.7,-6.9,45,31.8,0
2021-03-02,R1,16,75-84,F,3.2,-2.8,7.4,-2.7,65,29.6,0
2021-03-03,R1,12,85+,F,7.0,2.1,15.4,0.7,64,28.1,0
2021-03-04,R1,10,75-84,F,11.9,7.1,15.2,2.9,54,37.3,0
2021-03-05,R1,22,65-74,M,4.2,-1.1,10.6,0.3,75,32.3,0
2021-03-06,R1,11,75-84,F,1.8,-3.0,7.1,-9.5,42,24.9,0
2021-03-07,R1,10,85+,M,7.6,2.5,11.8,-3.9,43,27.4,0
2021-03-08,R1,19,75-84,M,3.3,-2.9,8.4,-9.4,38,41.7,0
2021-03-09,R1,17,55-64,M,4.5,0.3,11.7,0.5,75,34.0,0
2021-03-10,R1,14,55-64,F,0.7,-2.3,6.0,-9.2,47,20.0,0
2021-03-11,R1,17,75-84,F,4.5,-0.5,9.8,-0.9,68,29.2,0
2021-03-12,R1,5,85+,F,10.3,4.8,18.6,-2.0,42,26.4,0
2021-03-13,R1,6,65-74,F,9.1,3.5,14.3,2.5,63,29.4,0
2021-03-14,R1,12,65-74,F,2.0,-2.1,6.0,-7.7,48,30.9,0
2021-03-15,R1,21,55-64,F,3.4,-3.0,8.2,-5.1,53,32.2,0
2021-03-16,R1,16,85+,F,0.1,-6.1,6.6,-8.0,54,31.2,0
2021-03-17,R1,13,85+,M,7.8,3.5,12.4,-2.5,48,31.4,0
2021-03-18,R1,13,55-64,M,2.0,-3.4,8.8,-3.8,65,27.7,0
2021-03-19,R1,16,65-74,M,2.3,-4.1,4.8,-2.2,71,27.3,0
2021-03-20,R1,8,65-74,M,3.1,-1.8,8.5,-5.5,53,21.7,0
2021-03-21,R1,11,65-74,M,6.5,1.7,10.8,4.2,85,28.5,0
2021-03-22,R1,16,75-84,M,3.3,-1.7,8.3,-2.9,63,39.9,0
2021-03-23,R1,9,55-64,M,5.2,0.1,10.4,-2.1,59,29.1,0
2021-03-24,R1,10,45-54,M,14.1,9.8,19.2,-0.2,37,29.9,0
2021-03-25,R1,11,65-74,M,1.5,-5.1,7.5,-3.7,68,25.0,0
2021-03-26,R1,15,55-64,F,4.3,1.3,10.4,-3.1,58,26.8,0
2021-03-27,R1,11,75-84,M,1.6,-3.5,5.1,-9.2,44,25.4,0
2021-03-28,R1,8,85+,F,10.9,5.5,16.2,2.0,54,26.1,0
2021-03-29,R1,10,55-64,F,4.5,-0.4,10.2,-9.1,36,26.0,0
2021-03-30,R1,11,55-64,F,-1.6,-5.1,3.3,-10.0,52,22.3,0
2021-03-31,R1,8,55-64,F,2.9,-2.8,7.5,-5.1,55,31.9,0
2021-04-01,R1,12,65-74,M,8.9,4.9,12.9,-3.2,42,30.0,0
2021-04-02,R1,11,55-64,F,1.2,-3.7,5.8,-8.2,49,36.4,0
2021-04-03,R1,9,75-84,M,5.8,0.8,9.1,2.8,81,27.9,0
2021-04-04,R1,12,65-74,F,2.4,-3.8,7.8,-3.4,65,35.2,0
2021-04-05,R1,13,75-84,F,3.0,-1.0,8.7,-3.5,62,21.4,0
2021-04-06,R1,12,45-54,M,0.1,-5.4,5.5,-1.5,88,32.5,0
2021-04-07,R1,11,65-74,F,-1.4,-6.3,2.6,-7.8,61,22.8,0
2021-04-08,R1,9,85+,M,4.4,0.7,9.8,-0.8,68,40.4,0
2021-04-09,R1,9,45-54,F,5.0,-1.1,9.4,0.9,74,30.7,0
2021-04-10,R1,9,65-74,M,2.7,-2.6,7.0,0.8,86,32.3,0
2021-04-11,R1,10,55-64,M,2.1,-3.4,6.8,0.0,86,23.2,0
2021-04-12,R1,18,75-84,M,1.1,-3.4,4.0,-5.0,63,25.1,0
2021-04-13,R1,10,75-84,M,7.7,3.4,14.3,2.8,71,22.5,0
2021-04-14,R1,8,75-84,F,4.8,-1.4,9.1,-2.0,61,32.2,0
2021-04-15,R1,10,45-54,M,7.7,3.8,13.1,-0.0,57,27.7,0
2021-04-16,R1,9,85+,M,6.0,1.7,12.4,1.6,73,28.6,0
2021-04-17,R1,9,45-54,M,6.6,2.5,11.9,-5.0,43,30.5,0
2021-04-18,R1,7,65-74,F,2.6,-2.9,7.7,-18.4,19,33.1,0
2021-04-19,R1,12,65-74,F,3.6,-0.7,8.9,1.6,86,34.9,0
2021-04-20,R1,9,45-54,F,1.9,-3.8,6.2,-4.0,64,25.5,0
2021-04-21,R1,11,75-84,F,6.3,0.6,11.7,-1.3,58,34.8,0
2021-04-22,R1,17,65-74,F,7.1,1.1,12.5,-3.6,46,14.2,0
2021-04-23,R1,12,65-74,F,8.3,3.1,14.6,-0.1,55,28.6,0
2021-04-24,R1,15,45-54,M,4.6,-1.3,11.1,-1.8,63,24.7,0
2021-04-25,R1,11,65-74,F,8.6,4.0,13.9,4.9,77,35.5,0
2021-04-26,R1,16,75-84,M,7.8,2.9,12.9,-3.7,44,32.4,0
2021-04-27,R1,17,75-84,M,12.1,7.6,16.5,2.5,51,34.0,0
2021-04-28,R1,16,45-54,M,8.0,4.1,13.0,0.9,61,29.8,0
2021-04-29,R1,8,85+,M,8.7,4.4,12.7,-6.5,33,17.6,0
2021-04-30,R1,13,75-84,F,2.8,1.0,6.8,-5.9,52,22.3,0
2021-05-01,R1,8,45-54,F,4.0,-0.9,8.2,-2.5,62,24.0,0
2021-05-02,R1,10,75-84,M,5.2,0.1,10.2,-5.2,46,25.4,0
2021-05-03,R1,11,55-64,F,5.6,0.0,9.9,4.9,95,29.3,0
2021-05-04,R1,10,85+,F,6.5,1.9,12.0,-0.2,62,26.1,0
2021-05-05,R1,12,45-54,M,4.1,0.2,10.7,-2.7,61,21.4,0
2021-05-06,R1,11,55-64,F,10.3,5.0,15.6,0.0,48,23.8,0
2021-05-07,R1,13,65-74,M,10.3,5.3,16.1,1.1,52,15.2,0
2021-05-08,R1,12,75-84,F,8.5,3.8,12.7,2.9,68,26.2,0
2021-05-09,R1,6,65-74,M,5.6,-1.1,11.4,-2.9,54,25.4,0
2021-05-10,R1,8,45-54,M,7.3,2.6,12.5,3.5,76,22.2,0
2021-05-11,R1,12,55-64,M,7.1,2.4,14.3,-11.0,26,21.7,0
2021-05-12,R1,14,85+,F,6.8,1.9,11.7,-0.7,58,22.5,0
2021-05-13,R1,15,65-74,M,4.6,1.4,10.5,-1.7,63,25.8,0
2021-05-14,R1,8,85+,M,8.4,2.5,12.4,-1.0,51,24.0,0
2021-05-15,R1,7,45-54,F,11.6,6.3,15.6,7.5,75,15.5,0
2021-05-16,R1,10,85+,F,10.1,5.3,15.8,-0.7,47,16.3,0
2021-05-17,R1,14,65-74,M,9.2,4.1,12.6,-3.7,40,22.7,0
2021-05-18,R1,16,45-54,F,-0.9,-6.7,4.0,-4.5,77,18.1,0
2021-05-19,R1,11,75-84,M,7.2,2.6,12.2,1.7,68,22.2,0
2021-05-20,R1,8,75-84,F,14.6,10.2,19.0,6.7,59,22.5,0
2021-05-21,R1,5,55-64,F,9.3,6.7,16.2,1.4,57,24.9,0
2021-05-22,R1,11,85+,F,13.3,8.9,19.1,3.2,50,19.5,0
2021-05-23,R1,9,45-54,M,9.6,5.6,13.1,-2.4,42,21.4,0
2021-05-24,R1,12,85+,F,7.0,2.0,11.7,-1.0,56,31.6,0
2021-05-25,R1,8,75-84,M,4.9,0.6,9.4,-3.0,56,13.3,0
2021-05-26,R1,11,65-74,M,6.9,1.8,11.0,-1.6,55,31.9,0
2021-05-27,R1,14,55-64,M,6.5,1.9,12.4,1.1,68,23.6,0
2021-05-28,R1,11,85+,F,7.9,3.2,13.3,-0.7,54,21.9,0
2021-05-29,R1,10,85+,F,11.6,8.1,15.5,0.8,47,16.3,0
2021-05-30,R1,11,55-64,F,11.0,6.4,13.9,3.8,61,20.6,0
2021-05-31,R1,12,45-54,M,12.6,8.5,17.1,4.7,58,16.4,0
2021-06-01,R1,7,45-54,M,14.0,8.9,17.2,6.1,59,21.5,0
2021-06-02,R1,11,85+,M,11.1,7.4,14.7,7.2,76,25.9,0
2021-06-03,R1,4,85+,F,15.9,10.3,20.5,5.4,49,21.0,0
2021-06-04,R1,10,85+,F,11.9,7.5,16.7,1.4,48,18.8,0
2021-06-05,R1,7,65-74,F,10.9,5.1,17.0,0.2,47,19.0,0
2021-06-06,R1,9,65-74,M,11.4,8.5,17.0,0.3,46,15.9,0
2021-06-07,R1,12,85+,M,10.1,6.2,14.7,3.8,65,18.2,0
2021-06-08,R1,13,75-84,M,11.9,6.3,18.0,1.6,49,21.8,0
2021-06-09,R1,13,55-64,M,7.3,1.9,12.7,1.0,64,16.2,0
2021-06-10,R1,12,85+,M,10.1,5.8,15.5,6.1,76,16.8,0
2021-06-11,R1,8,75-84,M,11.2,6.5,15.5,5.1,66,19.5,0
2021-06-12,R1,12,55-64,F,7.9,1.2,13.2,-0.9,53,13.5,0
2021-06-13,R1,15,75-84,M,10.0,3.9,14.5,-1.6,44,15.9,0
2021-06-14,R1,9,55-64,M,14.9,11.8,21.1,10.0,72,24.1,0
2021-06-15,R1,13,85+,M,14.8,10.5,18.1,2.3,43,17.7,0
2021-06-16,R1,4,75-84,F,6.4,0.0,12.3,-4.9,44,17.5,0
2021-06-17,R1,10,65-74,F,16.2,12.0,21.3,8.4,59,16.0,0
2021-06-18,R1,13,65-74,F,10.0,4.2,14.0,1.8,56,15.7,0
2021-06-19,R1,9,75-84,M,11.3,5.0,15.8,3.6,59,26.6,0
2021-06-20,R1,3,55-64,M,14.7,9.6,20.6,4.3,49,11.9,0
2021-06-21,R1,11,55-64,M,10.7,6.4,14.3,9.2,90,18.2,0
2021-06-22,R1,6,85+,M,15.3,10.6,21.4,14.5,94,11.8,0
2021-06-23,R1,16,85+,F,17.1,12.2,22.1,5.9,47,20.8,0
2021-06-24,R1,12,75-84,M,13.6,8.8,18.6,8.6,71,24.5,0
2021-06-25,R1,8,45-54,F,12.2,6.5,17.4,-1.5,38,14.4,0
2021-06-26,R1,10,65-74,F,15.9,9.6,21.2,8.5,61,11.2,0
2021-06-27,R1,13,75-84,F,17.9,14.6,23.0,15.1,83,11.9,0
2021-06-28,R1,15,75-84,M,15.4,11.3,19.7,-1.4,31,10.1,0
2021-06-29,R1,12,85+,M,14.7,10.2,18.8,13.3,90,14.5,0
2021-06-30,R1,9,85+,M,13.2,8.8,18.1,5.4,59,30.3,0
2021-07-01,R1,10,45-54,F,15.3,10.2,19.3,8.0,61,17.7,0
2021-07-02,R1,10,65-74,M,18.3,13.3,22.2,8.0,50,13.9,0
2021-07-03,R1,9,55-64,F,15.0,11.5,19.0,5.8,54,8.2,0
2021-07-04,R1,10,65-74,F,9.9,3.6,15.3,5.7,75,16.6,1
2021-07-05,R1,9,45-54,F,13.8,9.0,19.7,3.4,49,18.5,0
2021-07-06,R1,8,75-84,F,25.9,19.9,31.3,13.7,46,13.9,0
2021-07-07,R1,5,45-54,F,18.7,15.0,24.2,5.3,41,6.8,0
2021-07-08,R1,10,45-54,M,18.0,12.5,22.0,9.7,58,6.6,0
2021-07-09,R1,9,55-64,M,19.3,13.2,23.7,13.5,68,10.7,0
2021-07-10,R1,8,65-74,F,15.6,8.6,19.0,9.2,65,8.9,0
2021-07-11,R1,14,85+,F,24.3,19.2,30.8,12.9,48,13.5,0
2021-07-12,R1,14,65-74,M,17.1,11.1,22.9,13.6,79,5.0,0
2021-07-13,R1,17,85+,M,15.4,11.3,20.4,12.8,84,23.6,0
2021-07-14,R1,6,75-84,M,18.7,13.3,24.0,16.2,85,18.8,0
2021-07-15,R1,12,75-84,M,18.7,12.5,23.9,11.5,63,13.8,0
2021-07-16,R1,0,45-54,M,14.3,7.9,19.8,6.5,59,10.2,0
2021-07-17,R1,10,85+,M,20.7,17.6,25.6,10.9,53,12.3,0
2021-07-18,R1,8,55-64,F,18.0,13.6,23.1,13.2,73,12.8,0
2021-07-19,R1,10,75-84,F,21.8,18.1,26.5,9.7,46,11.4,0
2021-07-20,R1,18,45-54,M,16.6,12.4,21.9,11.0,69,14.8,0
2021-07-21,R1,9,55-64,F,13.4,7.2,18.1,8.2,70,5.9,0
2021-07-22,R1,12,65-74,F,14.1,9.1,18.0,8.2,67,16.2,0
2021-07-23,R1,9,85+,M,23.1,19.7,28.7,18.3,74,11.0,0
2021-07-24,R1,8,55-64,M,18.6,13.7,24.4,8.2,50,8.7,0
2021-07-25,R1,14,85+,M,19.1,13.8,24.6,11.1,59,5.4,0
2021-07-26,R1,16,55-64,F,21.4,15.5,26.9,12.6,57,6.6,0
2021-07-27,R1,11,65-74,F,22.1,15.6,27.4,17.2,73,10.3,0
2021-07-28,R1,8,65-74,F,20.6,16.7,24.7,14.8,69,16.2,0
2021-07-29,R1,10,85+,M,20.0,13.6,25.8,14.8,71,21.2,0
2021-07-30,R1,4,75-84,F,19.3,16.7,24.1,9.2,51,15.5,0
2021-07-31,R1,9,65-74,F,22.4,18.2,26.9,2.3,26,6.0,0
2021-08-01,R1,9,45-54,M,15.8,11.4,20.3,6.4,53,11.7,0
2021-08-02,R1,11,65-74,F,19.8,14.9,24.1,14.0,69,11.1,0
2021-08-03,R1,13,85+,F,22.4,18.6,27.5,15.6,65,14.2,0
2021-08-04,R1,5,85+,M,26.0,20.0,31.3,13.1,44,14.7,0
2021-08-05,R1,13,65-74,F,20.4,15.3,25.7,14.2,67,8.1,0
2021-08-06,R1,12,45-54,M,28.6,23.1,32.2,16.6,48,13.5,0
2021-08-07,R1,8,85+,F,20.2,16.8,25.8,16.0,76,10.5,0
2021-08-08,R1,15,75-84,F,19.7,13.9,24.5,7.4,45,11.2,0
2021-08-09,R1,20,65-74,F,22.2,16.7,28.1,11.1,49,7.3,0
2021-08-10,R1,11,55-64,M,21.3,16.4,26.3,14.9,67,23.4,0
2021-08-11,R1,11,85+,M,20.3,14.1,25.7,-7.2,15,14.0,0
2021-08-12,R1,12,55-64,M,13.6,7.6,18.5,-6.3,24,12.8,0
2021-08-13,R1,10,65-74,M,24.1,17.3,30.2,5.5,30,5.0,0
2021-08-14,R1,13,75-84,F,20.5,15.6,23.5,11.1,55,10.5,0
2021-08-15,R1,8,55-64,M,21.3,16.8,24.6,14.6,65,11.6,0
2021-08-16,R1,9,85+,M,19.7,12.9,24.3,10.6,55,17.6,0
2021-08-17,R1,9,45-54,M,21.3,16.9,24.4,12.1,55,16.0,0
2021-08-18,R1,6,85+,M,23.3,17.3,28.7,15.7,62,6.3,0
2021-08-19,R1,12,75-84,F,30.4,26.9,35.2,21.7,59,7.9,0
2021-08-20,R1,13,75-84,F,25.2,20.2,33.4,17.5,62,11.2,0
2021-08-21,R1,7,65-74,M,18.9,16.1,23.9,15.5,80,10.4,0
2021-08-22,R1,8,55-64,M,25.0,19.5,30.8,7.5,32,5.0,0
2021-08-23,R1,14,55-64,F,24.1,22.5,31.5,17.9,68,7.1,0
2021-08-24,R1,6,75-84,F,22.9,17.8,29.1,16.9,68,9.8,0
2021-08-25,R1,9,75-84,F,23.7,18.5,30.0,12.9,51,8.7,0
2021-08-26,R1,8,65-74,F,23.2,16.5,28.8,11.1,46,6.4,0
2021-08-27,R1,14,85+,F,30.3,25.1,34.5,23.3,66,7.7,0
2021-08-28,R1,9,65-74,F,22.7,18.0,26.7,13.9,57,7.2,0
2021-08-29,R1,11,45-54,M,22.5,18.9,27.7,13.6,56,5.0,0
2021-08-30,R1,15,45-54,F,23.7,20.1,28.1,14.3,55,9.9,0
2021-08-31,R1,12,85+,M,26.7,20.3,32.3,18.2,59,15.0,0
2021-09-01,R1,12,45-54,M,27.3,21.0,33.5,23.2,78,5.0,0
2021-09-02,R1,6,45-54,F,22.2,18.8,26.9,18.5,79,12.3,0
2021-09-03,R1,7,65-74,F,22.6,18.2,28.8,18.4,77,15.7,0
2021-09-04,R1,8,55-64,M,26.5,19.9,31.9,24.6,89,14.5,0
2021-09-05,R1,7,85+,M,25.5,20.1,30.6,15.8,55,9.2,0
2021-09-06,R1,10,75-84,F,26.0,21.2,31.5,18.8,64,10.3,0
2021-09-07,R1,7,45-54,M,23.6,16.9,31.3,9.9,41,5.0,0
2021-09-08,R1,10,75-84,F,26.2,21.0,31.7,14.8,49,8.9,0
2021-09-09,R1,14,85+,M,21.1,15.3,26.3,15.2,69,5.0,0
2021-09-10,R1,10,45-54,F,28.2,25.0,34.0,15.7,46,15.4,0
2021-09-11,R1,14,65-74,F,25.8,21.0,31.0,13.4,46,14.1,0
2021-09-12,R1,8,75-84,M,20.4,13.8,25.3,18.5,88,16.3,0
2021-09-13,R1,8,55-64,M,23.5,19.0,27.9,8.7,38,6.5,0
2021-09-14,R1,9,55-64,M,26.8,24.3,32.4,17.7,57,7.9,0
2021-09-15,R1,6,75-84,M,27.5,22.3,32.2,14.7,45,5.0,0
2021-09-16,R1,9,85+,F,20.6,15.4,25.6,15.6,72,13.4,0
2021-09-17,R1,14,55-64,F,26.0,22.7,31.8,20.5,71,10.6,0
2021-09-18,R1,12,75-84,M,20.3,14.2,25.1,11.9,58,5.0,0
2021-09-19,R1,7,45-54,F,23.0,18.3,28.5,11.3,47,14.3,0
2021-09-20,R1,11,45-54,F,24.4,20.2,29.0,10.7,42,20.5,0
2021-09-21,R1,15,85+,M,26.9,22.4,30.8,17.5,56,16.1,0
2021-09-22,R1,11,55-64,M,26.4,19.8,31.8,20.4,69,14.3,0
2021-09-23,R1,9,85+,M,21.0,15.2,26.3,13.2,61,5.0,0
2021-09-24,R1,5,65-74,M,20.6,16.4,23.4,13.9,65,5.3,0
2021-09-25,R1,13,65-74,M,27.1,20.3,31.4,19.5,63,5.0,0
2021-09-26,R1,13,75-84,M,32.3,26.0,36.6,22.4,55,9.9,0
2021-09-27,R1,9,85+,M,29.4,25.7,33.2,18.7,52,8.8,0
2021-09-28,R1,10,45-54,F,24.2,19.5,27.8,18.8,71,13.5,0
2021-09-29,R1,14,55-64,M,27.7,24.1,33.4,19.1,59,5.9,0
2021-09-30,R1,15,45-54,F,18.8,12.5,23.2,7.6,47,5.3,0
2021-10-01,R1,11,45-54,F,20.0,15.4,24.0,15.4,74,12.8,0
2021-10-02,R1,6,75-84,F,29.8,24.3,35.5,4.4,19,11.1,0
2021-10-03,R1,15,55-64,F,24.0,20.2,30.7,16.7,63,7.7,0
2021-10-04,R1,12,75-84,M,26.5,21.8,31.1,17.6,57,15.8,0
2021-10-05,R1,7,85+,F,22.7,17.5,29.2,11.0,47,12.4,0
2021-10-06,R1,14,55-64,F,29.1,24.9,35.2,17.9,50,8.7,0
2021-10-07,R1,15,65-74,F,27.2,22.5,32.2,15.9,50,16.4,0
2021-10-08,R1,13,65-74,M,24.9,20.2,29.9,19.8,73,8.7,0
2021-10-09,R1,13,45-54,F,24.5,17.7,29.4,15.3,56,11.2,0
2021-10-10,R1,7,75-84,F,28.2,23.2,32.7,24.1,78,20.0,0
2021-10-11,R1,8,65-74,F,30.2,25.0,34.9,24.3,70,17.3,0
2021-10-12,R1,14,75-84,F,21.2,16.2,25.1,8.9,45,9.6,0
2021-10-13,R1,11,85+,M,24.8,21.0,30.3,20.5,76,12.1,0
2021-10-14,R1,12,85+,F,26.2,18.1,31.1,17.4,58,16.4,0
2021-10-15,R1,11,55-64,F,26.3,18.7,31.9,12.6,42,14.2,0
2021-10-16,R1,16,55-64,F,24.8,20.6,29.2,21.5,82,13.4,0
2021-10-17,R1,11,65-74,M,20.1,14.6,26.4,12.4,61,15.8,0
2021-10-18,R1,11,75-84,M,23.1,17.1,28.4,19.8,81,14.0,0
2021-10-19,R1,11,85+,F,18.9,13.5,22.5,15.1,78,13.4,0
2021-10-20,R1,12,75-84,F,23.6,18.0,28.6,16.8,65,9.3,0
